,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Pepas,Farruko,5189396,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
2,"Todo De Ti","Rauw Alejandro",5147365,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
3,Yonaguni,"Bad Bunny",4719115,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
4,Volví,Aventura,4274262,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
5,"Qué Más Pues?","J Balvin",3800269,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
6,"Botella Tras Botella","Gera MX",3490363,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
7,París,Ingratax,3293335,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
8,"AM Remix","Nio Garcia",3241865,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
9,Sobrio,Maluma,3228054,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
10,"STAY (with Justin Bieber)","The Kid LAROI",3155936,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
11,"Pareja Del Año","Sebastian Yatra",2816464,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
12,"Tiroteo - Remix","Marc Seguí",2789811,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
13,Mónaco,LAGOS,2661483,https://open.spotify.com/track/3HgvO4B5LLmdPOT2d8cSZd
14,"A La Antigüita","Calibre 50",2599220,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
15,DÁKITI,"Bad Bunny",2469495,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,"Ya Acabo","Marca MP",2434330,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
17,"Cuidando El Territorio","Calibre 50",2355035,https://open.spotify.com/track/64ImcY4fJhY243wr20SR3e
18,"Volando - Remix",Mora,2320372,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
19,Beggin',Måneskin,2306049,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
20,"In Da Getto","J Balvin",2289775,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
21,Miénteme,TINI,2185923,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
22,"911 - Remix",Sech,2123754,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
23,"Entre Nosotros","Tiago PZK",2086486,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
24,Cúrame,"Rauw Alejandro",2006937,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
25,"Se Me Olvidó","Gera MX",2005714,https://open.spotify.com/track/7xLYLM5K6S1TwiSdfuhZQg
26,"Debo Entender","Santa Fe Klan",1918587,https://open.spotify.com/track/55mzJ0LftLnef8sxAjrMkU
27,"Poblado - Remix","J Balvin",1913298,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
28,"Porte Exuberante","Natanael Cano",1909016,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
29,"El Tóxico","Grupo Firme",1836391,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
30,Fiel,"Los Legendarios",1723396,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
31,"Don't Be Shy",Tiësto,1645528,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
32,Hawái,Maluma,1643387,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
33,"Take My Breath","The Weeknd",1639601,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
34,"Todo Va a Estar Bien","Santa Fe Klan",1617629,https://open.spotify.com/track/3XjRIN9vEt35lm1iStPcgq
35,"Ya Supérame (En Vivo)","Grupo Firme",1585502,https://open.spotify.com/track/6HIIuuUIEzH1meVdGbMXyf
36,"Kiss Me More (feat. SZA)","Doja Cat",1486623,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
37,2/Catorce,"Rauw Alejandro",1472684,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
38,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1472402,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
39,"Fiel - Remix",Wisin,1471983,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
40,"EL MAKINON","KAROL G",1447058,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
41,"En Tu Perra Vida","Grupo Firme",1428977,https://open.spotify.com/track/0ldT3gl7aGNzrJyd4b1CA4
42,Loquita,Reik,1396634,https://open.spotify.com/track/2OTULPNeQUkwQ0tNzcG7tj
43,"LA NOCHE DE ANOCHE","Bad Bunny",1395577,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
44,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",1380348,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
45,"La Curiosidad","Jay Wheeler",1376812,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
46,Perfecta,Reik,1360507,https://open.spotify.com/track/6VOb0Kkrd45Bp5RHYSla2J
47,"Bad Habits","Ed Sheeran",1351276,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
48,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1345296,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
49,"Sal y Perrea",Sech,1335460,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
50,"Se Amerita","Junior H",1324602,https://open.spotify.com/track/3pQYf90V5idOGrXzosm9rt
51,"La Casita","Banda MS de Sergio Lizárraga",1278881,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
52,"Gracias - En Vivo","Grupo Firme",1266596,https://open.spotify.com/track/2XlGKZNMkRKvEJsbwQ6MCl
53,telepatía,"Kali Uchis",1235941,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
54,"Fuentes de Ortiz","Ed Maverick",1231004,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
55,Woman,"Doja Cat",1228896,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
56,BICHOTA,"KAROL G",1213588,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
57,"200 COPAS","KAROL G",1211394,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG
58,AM,"Nio Garcia",1209377,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
59,"LA CANCIÓN","J Balvin",1200355,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
60,"Aquí Abajo","Christian Nodal",1192173,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
61,"Blinding Lights","The Weeknd",1187100,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
62,"good 4 u","Olivia Rodrigo",1180209,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
