,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Todo De Ti","Rauw Alejandro",12348186,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
2,Yonaguni,"Bad Bunny",10645172,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
3,"Botella Tras Botella","Gera MX",6570181,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
4,Fiel,"Los Legendarios",5308764,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
5,"Pareja Del Año","Sebastian Yatra",4789639,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
6,AM,"Nio Garcia",4194104,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
7,2/Catorce,"Rauw Alejandro",3715290,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
8,DÁKITI,"Bad Bunny",3642579,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
9,"EL MAKINON","KAROL G",2873224,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
10,Bandido,"Myke Towers",2831340,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
11,telepatía,"Kali Uchis",2502876,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
12,Poblado,Crissin,2454229,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
13,Butter,BTS,2432144,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
14,"LA NOCHE DE ANOCHE","Bad Bunny",2415185,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
15,"Porte Exuberante","Natanael Cano",2313727,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
16,Reloj,"Rauw Alejandro",2296584,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
17,"Qué Más Pues?","J Balvin",2203250,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
18,911,Sech,2132869,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
19,"good 4 u","Olivia Rodrigo",2107968,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
20,512,Mora,2087425,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
21,"Algo Mágico","Rauw Alejandro",2070137,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
22,"Kiss Me More (feat. SZA)","Doja Cat",1940521,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
23,"Ya Acabo","Marca MP",1935529,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
24,Hawái,Maluma,1932753,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
25,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1915219,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
26,"Levitating (feat. DaBaby)","Dua Lipa",1867823,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
27,BICHOTA,"KAROL G",1854847,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
28,"MONTERO (Call Me By Your Name)","Lil Nas X",1824889,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
29,"Sal y Perrea",Sech,1810898,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
30,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1792202,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
31,Saturno,"Pablo Alborán",1757815,https://open.spotify.com/track/2f0Ft2XdvNSMSY5TUlZgEz
32,"El Tóxico","Grupo Firme",1705879,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
33,"Ram Pam Pam","Natti Natasha",1697523,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
34,"Aquí Abajo","Christian Nodal",1676806,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
35,"Tan Bonita","Piso 21",1676771,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
36,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1651062,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
37,"Leave The Door Open","Bruno Mars",1648318,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
38,"Grandes Ligas","Lupillo Rivera",1635350,https://open.spotify.com/track/06IceO7e9isF3nX3y7dOTe
39,"TE MUDASTE","Bad Bunny",1608760,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
40,"deja vu","Olivia Rodrigo",1582080,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
41,"Blinding Lights","The Weeknd",1498925,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
42,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1472876,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
43,"Cabrón y Vago - En Vivo","El Fantasma",1461875,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
44,"Más De La Una","Piso 21",1433735,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
45,"2 Veces","Los Plebes del Rancho de Ariel Camacho",1431944,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
46,Ella,"Junior H",1430689,https://open.spotify.com/track/0tKl8ZVM6xJkhznvJAS3Nq
47,"LA CANCIÓN","J Balvin",1397234,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
48,"Si Nos Dejan","Christian Nodal",1392681,https://open.spotify.com/track/77OLLnRUGQtf0HH626f0Vj
49,"Pa' Olvidarme De Ella","Piso 21",1294374,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
50,"drivers license","Olivia Rodrigo",1274881,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
