,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Todo De Ti","Rauw Alejandro",13060862,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
2,"Botella Tras Botella","Gera MX",6907931,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
3,Fiel,"Los Legendarios",5484252,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
4,"Pareja Del Año","Sebastian Yatra",4889079,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
5,AM,"Nio Garcia",4390043,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
6,2/Catorce,"Rauw Alejandro",3578975,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
7,DÁKITI,"Bad Bunny",3451618,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
8,"EL MAKINON","KAROL G",3151593,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
9,Butter,BTS,3100244,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
10,Bandido,"Myke Towers",2762020,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
11,telepatía,"Kali Uchis",2715680,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
12,Poblado,Crissin,2557964,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
13,"LA NOCHE DE ANOCHE","Bad Bunny",2329545,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
14,Reloj,"Rauw Alejandro",2313158,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
15,"good 4 u","Olivia Rodrigo",2269437,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
16,"Algo Mágico","Rauw Alejandro",2192354,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
17,911,Sech,2112720,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
18,512,Mora,2102348,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
19,BICHOTA,"KAROL G",2081641,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
20,"Porte Exuberante","Natanael Cano",2073910,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
21,"Ya Acabo","Marca MP",1984844,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
22,"Kiss Me More (feat. SZA)","Doja Cat",1978046,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
23,Hawái,Maluma,1954390,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
24,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1906597,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
25,"Levitating (feat. DaBaby)","Dua Lipa",1903244,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
26,"MONTERO (Call Me By Your Name)","Lil Nas X",1881164,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
27,"Sal y Perrea",Sech,1840616,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
28,"Grandes Ligas","Lupillo Rivera",1796098,https://open.spotify.com/track/06IceO7e9isF3nX3y7dOTe
29,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1789488,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
30,"Aquí Abajo","Christian Nodal",1781612,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
31,"El Tóxico","Grupo Firme",1779842,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
32,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1764188,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
33,"deja vu","Olivia Rodrigo",1717630,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
34,"Tan Bonita","Piso 21",1696005,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
35,"Leave The Door Open","Bruno Mars",1648714,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
36,"Ram Pam Pam","Natti Natasha",1615452,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
37,"Blinding Lights","The Weeknd",1549087,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
38,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1538927,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
39,"Hasta Que Me Olvides","Luis Miguel",1533302,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
40,"Cabrón y Vago - En Vivo","El Fantasma",1526420,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
41,"2 Veces","Los Plebes del Rancho de Ariel Camacho",1507285,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
42,"TE MUDASTE","Bad Bunny",1475631,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
43,Saturno,"Pablo Alborán",1432500,https://open.spotify.com/track/2f0Ft2XdvNSMSY5TUlZgEz
44,"Hecha Pa' Mi",Boza,1423333,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
45,"drivers license","Olivia Rodrigo",1411793,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
46,Ella,"Junior H",1397543,https://open.spotify.com/track/0tKl8ZVM6xJkhznvJAS3Nq
47,"Ella No Es Tuya - Remix","Rochy RD",1384300,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
48,"La Nota","Manuel Turizo",1382150,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
49,"Pa' Olvidarme De Ella","Piso 21",1366336,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
50,"Que Esta Pasando","Fuerza Regida",1359598,https://open.spotify.com/track/26xQbFpVg8JCT5NKQFJXg8
