,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Todo De Ti","Rauw Alejandro",10538011,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
2,Yonaguni,"Bad Bunny",9077360,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
3,"Botella Tras Botella","Gera MX",6141470,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
4,Fiel,"Los Legendarios",4838494,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
5,"Pareja Del Año","Sebastian Yatra",4625812,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
6,AM,"Nio Garcia",3799649,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
7,DÁKITI,"Bad Bunny",3401747,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
8,2/Catorce,"Rauw Alejandro",3275487,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
9,"Qué Más Pues?","J Balvin",3204519,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
10,"EL MAKINON","KAROL G",2748346,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
11,Bandido,"Myke Towers",2601708,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
12,"Porte Exuberante","Natanael Cano",2433424,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
13,telepatía,"Kali Uchis",2352187,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
14,"LA NOCHE DE ANOCHE","Bad Bunny",2299595,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
15,Poblado,Crissin,2095197,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
16,Butter,BTS,2067697,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
17,"good 4 u","Olivia Rodrigo",2065396,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
18,Reloj,"Rauw Alejandro",2049459,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
19,"Ya Acabo","Marca MP",1945723,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
20,911,Sech,1943723,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
21,"Kiss Me More (feat. SZA)","Doja Cat",1937191,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
22,512,Mora,1912484,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
23,Hawái,Maluma,1881223,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
24,"Algo Mágico","Rauw Alejandro",1868651,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
25,"MONTERO (Call Me By Your Name)","Lil Nas X",1837319,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
26,BICHOTA,"KAROL G",1792786,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
27,Saturno,"Pablo Alborán",1781560,https://open.spotify.com/track/2f0Ft2XdvNSMSY5TUlZgEz
28,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1759986,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
29,"Levitating (feat. DaBaby)","Dua Lipa",1759263,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
30,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1757672,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
31,"Ram Pam Pam","Natti Natasha",1673334,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
32,"El Tóxico","Grupo Firme",1653602,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
33,"Tan Bonita","Piso 21",1636908,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
34,"Leave The Door Open","Bruno Mars",1609615,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
35,"Grandes Ligas","Lupillo Rivera",1592299,https://open.spotify.com/track/06IceO7e9isF3nX3y7dOTe
36,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1579774,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
37,"Aquí Abajo","Christian Nodal",1567577,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
38,"Sal y Perrea",Sech,1554623,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
39,"deja vu","Olivia Rodrigo",1487590,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
40,"TE MUDASTE","Bad Bunny",1480232,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
41,"Cabrón y Vago - En Vivo","El Fantasma",1468404,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
42,"Blinding Lights","The Weeknd",1465033,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
43,Ella,"Junior H",1443476,https://open.spotify.com/track/0tKl8ZVM6xJkhznvJAS3Nq
44,"2 Veces","Los Plebes del Rancho de Ariel Camacho",1430449,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
45,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1424766,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
46,"LA CANCIÓN","J Balvin",1342080,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
47,"Más De La Una","Piso 21",1339345,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
