,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Pepas,Farruko,4603120,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
2,"A La Antigüita","Calibre 50",4513019,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
3,"Todo De Ti","Rauw Alejandro",4280114,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
4,Yonaguni,"Bad Bunny",4256729,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
5,Volví,Aventura,3550914,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
6,"Ya Supérame (En Vivo)","Grupo Firme",3104516,https://open.spotify.com/track/6HIIuuUIEzH1meVdGbMXyf
7,Sobrio,Maluma,3075217,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
8,"Botella Tras Botella","Gera MX",3073596,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
9,"Qué Más Pues?","J Balvin",3036691,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
10,"STAY (with Justin Bieber)","The Kid LAROI",3011232,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
11,"Ya Acabo","Marca MP",2905220,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
12,París,Ingratax,2789820,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
13,"Life Goes On","Oliver Tree",2765888,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
14,"AM Remix","Nio Garcia",2619861,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
15,"In Da Getto","J Balvin",2562650,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
16,"Pareja Del Año","Sebastian Yatra",2409071,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
17,"Don't Be Shy",Tiësto,2363969,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
18,"Tiroteo - Remix","Marc Seguí",2361719,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
19,Mónaco,LAGOS,2351439,https://open.spotify.com/track/3HgvO4B5LLmdPOT2d8cSZd
20,"Como Lo Hice Yo",Matisse,2324741,https://open.spotify.com/track/64JzNzcoSZOh3RWeoghVfk
21,DÁKITI,"Bad Bunny",2251478,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
22,Miénteme,TINI,1986722,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
23,"Cuidando El Territorio","Calibre 50",1962256,https://open.spotify.com/track/64ImcY4fJhY243wr20SR3e
24,Cúrame,"Rauw Alejandro",1922258,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
25,Beggin',Måneskin,1907710,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
26,"El Tóxico","Grupo Firme",1859329,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
27,"Volando - Remix",Mora,1858596,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
28,"Entre Nosotros","Tiago PZK",1768345,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
29,"Una Nota","J Balvin",1768189,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
30,"Sexo Virtual","Rauw Alejandro",1679587,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
31,"Cold Heart - PNAU Remix","Elton John",1678671,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
32,"Debo Entender","Santa Fe Klan",1635882,https://open.spotify.com/track/55mzJ0LftLnef8sxAjrMkU
33,"Porte Exuberante","Natanael Cano",1612993,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
34,"Se Amerita","Junior H",1606836,https://open.spotify.com/track/3pQYf90V5idOGrXzosm9rt
35,Hawái,Maluma,1583170,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
36,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1558755,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
37,"Ley Seca","Jhay Cortez",1532494,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
38,"911 - Remix",Sech,1530164,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
39,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",1522648,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
40,"Jugaste y Sufrí","Eslabon Armado",1443669,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
41,Woman,"Doja Cat",1434799,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
42,Fiel,"Los Legendarios",1431263,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
43,"La Casita","Banda MS de Sergio Lizárraga",1392513,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
44,"La Curiosidad","Jay Wheeler",1360800,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
45,"Gracias - En Vivo","Grupo Firme",1355358,https://open.spotify.com/track/2XlGKZNMkRKvEJsbwQ6MCl
46,"Poblado - Remix","J Balvin",1350903,https://open.spotify.com/track/2K1CQMoG2Dy5nmeOYnhoi8
47,"En Tu Perra Vida","Grupo Firme",1342931,https://open.spotify.com/track/0ldT3gl7aGNzrJyd4b1CA4
48,"Fuentes de Ortiz","Ed Maverick",1332831,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
49,"Te Ire A Buscar","Santa Fe Klan",1321529,https://open.spotify.com/track/3elpkpwYlmUbuvmVps08lJ
50,"Se Me Olvidó","Gera MX",1320653,https://open.spotify.com/track/7xLYLM5K6S1TwiSdfuhZQg
51,"EL MAKINON","KAROL G",1299250,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
52,"Dueles Tan Bien",Bruses,1292412,https://open.spotify.com/track/75ncCwXqalTnnl6t1ruQRq
53,"LA CANCIÓN","J Balvin",1284733,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
54,"Aquí Abajo","Christian Nodal",1244729,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
55,"Ramito De Violetas","Mi Banda El Mexicano",1242587,https://open.spotify.com/track/6sRaqq9SYsSTPvrWkL1sRy
56,Loco,"Justin Quiles",1233754,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
57,2/Catorce,"Rauw Alejandro",1226203,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
58,"Todo Va a Estar Bien","Santa Fe Klan",1220097,https://open.spotify.com/track/3XjRIN9vEt35lm1iStPcgq
59,"LA NOCHE DE ANOCHE","Bad Bunny",1203534,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
60,"200 COPAS","KAROL G",1185879,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG
61,"Ma Vie (feat. Yay)","Kidd Keo",1182270,https://open.spotify.com/track/6UU24wuWgGwuSBAxDH866Z
62,"Si Te Pudiera Mentir","Calibre 50",1148935,https://open.spotify.com/track/3p6eieHX6oEOzJStPtEsLu
63,"El Bélico","El Fantasma",1148742,https://open.spotify.com/track/50pkO56KXHoH53sVPRSbZ3
64,Perfecta,Reik,1135709,https://open.spotify.com/track/6VOb0Kkrd45Bp5RHYSla2J
65,"Por Mi México","Lefty Sm",1126630,https://open.spotify.com/track/2sUknbm8xdLQgH7wb8xcTX
66,"Cabrón y Vago - En Vivo","El Fantasma",1122538,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
67,"Me Rehúso","Danny Ocean",1122305,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
68,BICHOTA,"KAROL G",1118579,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
69,"Bad Habits","Ed Sheeran",1113999,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
70,"Hablando Claro (En Vivo)","Grupo Firme",1110175,https://open.spotify.com/track/5hRFjooNvZWb9gdnXjrv2j
71,Bandido,"Myke Towers",1105254,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
72,"Blinding Lights","The Weeknd",1102553,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
73,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1099874,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
74,"Kiss Me More (feat. SZA)","Doja Cat",1095505,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
75,telepatía,"Kali Uchis",1093695,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
76,Saturno,"Pablo Alborán",1084910,https://open.spotify.com/track/2f0Ft2XdvNSMSY5TUlZgEz
77,"A Tu Merced","Bad Bunny",1074784,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
78,"Take My Breath","The Weeknd",1061088,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
79,Tú,"Carin Leon",1057836,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
80,Ella,"Junior H",1056166,https://open.spotify.com/track/0tKl8ZVM6xJkhznvJAS3Nq
81,Brillas,"León Larregui",1047197,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI
82,"Todas Mueren por Mí","Cartel De Santa",1046715,https://open.spotify.com/track/3p2KYoBgxUaaoJzXUToM8a
83,"Tan Bonita","Piso 21",1038483,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
