,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Todo De Ti","Rauw Alejandro",5782232,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
2,Yonaguni,"Bad Bunny",5175937,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
3,Volví,Aventura,5036568,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
4,Pepas,Farruko,4568785,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
5,"Qué Más Pues?","J Balvin",4242447,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
6,"AM Remix","Nio Garcia",3759554,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
7,"Botella Tras Botella","Gera MX",3686255,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
8,,,3186011,https://open.spotify.com/track/2eKY4TBKeXnUXMtSLj4R0n
9,"Pareja Del Año","Sebastian Yatra",3146004,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
10,Sobrio,Maluma,3130950,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
11,"Tiroteo - Remix","Marc Seguí",2824150,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
12,Mónaco,LAGOS,2756027,https://open.spotify.com/track/3HgvO4B5LLmdPOT2d8cSZd
13,"Se Me Olvidó","Gera MX",2688731,https://open.spotify.com/track/7xLYLM5K6S1TwiSdfuhZQg
14,"Volando - Remix",Mora,2611629,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
15,Beggin',Måneskin,2610991,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
16,DÁKITI,"Bad Bunny",2520353,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
17,"Ya Acabo","Marca MP",2267724,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
18,"Entre Nosotros","Tiago PZK",2256027,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
19,"911 - Remix",Sech,2226671,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
20,"Cuidando El Territorio","Calibre 50",2161142,https://open.spotify.com/track/64ImcY4fJhY243wr20SR3e
21,Miénteme,TINI,2076738,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
22,"Poblado - Remix","J Balvin",2034280,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
23,"Porte Exuberante","Natanael Cano",1964118,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
24,"Take My Breath","The Weeknd",1955767,https://open.spotify.com/track/6OGogr19zPTM4BALXuMQpF
25,Fiel,"Los Legendarios",1925258,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
26,"STAY (with Justin Bieber)","The Kid LAROI",1878678,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
27,"In Da Getto","J Balvin",1801878,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
28,2/Catorce,"Rauw Alejandro",1772636,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
29,"El Tóxico","Grupo Firme",1741552,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
30,"EL MAKINON","KAROL G",1729685,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
31,Hawái,Maluma,1711399,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
32,"Todo Va a Estar Bien","Santa Fe Klan",1653538,https://open.spotify.com/track/3XjRIN9vEt35lm1iStPcgq
33,"Debo Entender","Santa Fe Klan",1633409,https://open.spotify.com/track/55mzJ0LftLnef8sxAjrMkU
34,"Fiel - Remix",Wisin,1565085,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
35,"Kiss Me More (feat. SZA)","Doja Cat",1550045,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
36,"LA NOCHE DE ANOCHE","Bad Bunny",1478733,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
37,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1463864,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
38,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1447887,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
39,Saturno,"Pablo Alborán",1438421,https://open.spotify.com/track/2f0Ft2XdvNSMSY5TUlZgEz
40,"Sal y Perrea",Sech,1438383,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
41,AM,"Nio Garcia",1407491,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
42,"Ram Pam Pam","Natti Natasha",1358066,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
43,telepatía,"Kali Uchis",1337984,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
44,512,Mora,1332864,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
45,BICHOTA,"KAROL G",1327439,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
46,"A La Antigüita","Calibre 50",1324792,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
47,Perfecta,Reik,1298048,https://open.spotify.com/track/6VOb0Kkrd45Bp5RHYSla2J
48,"En Tu Perra Vida","Grupo Firme",1294734,https://open.spotify.com/track/0ldT3gl7aGNzrJyd4b1CA4
