,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Botella Tras Botella","Gera MX",7446698,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
2,Fiel,"Los Legendarios",5332179,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,AM,"Nio Garcia",4653826,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
4,"Pareja Del Año","Sebastian Yatra",4437401,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
5,DÁKITI,"Bad Bunny",3508467,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
6,telepatía,"Kali Uchis",3047108,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
7,"EL MAKINON","KAROL G",2985516,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
8,Bandido,"Myke Towers",2927159,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
9,"LA NOCHE DE ANOCHE","Bad Bunny",2429695,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
10,Poblado,Crissin,2383159,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
11,2/Catorce,"Rauw Alejandro",2334822,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
12,911,Sech,2322774,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
13,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2296483,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
14,BICHOTA,"KAROL G",2215502,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
15,Reloj,"Rauw Alejandro",2200031,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
16,"Levitating (feat. DaBaby)","Dua Lipa",2094047,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
17,Hawái,Maluma,2055928,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
18,"MONTERO (Call Me By Your Name)","Lil Nas X",2019258,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
19,"Leave The Door Open","Bruno Mars",1916315,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
20,"Grandes Ligas","Lupillo Rivera",1900193,https://open.spotify.com/track/06IceO7e9isF3nX3y7dOTe
21,"Kiss Me More (feat. SZA)","Doja Cat",1894214,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
22,"Algo Mágico","Rauw Alejandro",1865214,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
23,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1855579,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
24,"El Tóxico","Grupo Firme",1798454,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
25,"Aquí Abajo","Christian Nodal",1781505,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
26,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1745654,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
27,"Hasta Que Me Olvides","Luis Miguel",1733373,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
28,"Ya Acabo","Marca MP",1731805,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
29,"Blinding Lights","The Weeknd",1604475,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
30,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1528348,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
31,"Cabrón y Vago - En Vivo","El Fantasma",1523356,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
32,"Mi Niña",Wisin,1502727,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
33,"Ella No Es Tuya - Remix","Rochy RD",1472662,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
34,"TE MUDASTE","Bad Bunny",1471022,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
35,"Hecha Pa' Mi",Boza,1460407,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
36,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",Bizarrap,1454944,https://open.spotify.com/track/3ke6it1vTmHtz2ApcIVUz5
37,"Ahora Te Puedes Marchar","Luis Miguel",1450490,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
38,"Save Your Tears","The Weeknd",1434493,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
39,512,Mora,1420956,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
40,"Que Esta Pasando","Fuerza Regida",1402611,https://open.spotify.com/track/26xQbFpVg8JCT5NKQFJXg8
41,"Pa' Olvidarme De Ella","Piso 21",1399999,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
42,"Más De La Una","Piso 21",1386319,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
43,"LA CANCIÓN","J Balvin",1368709,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
44,"Sal y Perrea",Sech,1359918,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
45,"Machu Picchu",Camilo,1345203,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
46,"2 Veces","Los Plebes del Rancho de Ariel Camacho",1310256,https://open.spotify.com/track/2G5kj8gYNAVM4pQ0IBBaGA
47,"La Nota","Manuel Turizo",1291200,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
48,Ella,"Junior H",1284100,https://open.spotify.com/track/0tKl8ZVM6xJkhznvJAS3Nq
49,"La Casita","Banda MS de Sergio Lizárraga",1279291,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
50,"Hasta Abajo","Kevin Roldan",1261606,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
51,"Tan Bonita","Piso 21",1246933,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
52,"deja vu","Olivia Rodrigo",1230172,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
53,"La Curiosidad","Jay Wheeler",1206418,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
54,LOCATION,"KAROL G",1199533,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
55,"Don't Start Now","Dua Lipa",1177254,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
56,"The Business",Tiësto,1166769,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
57,"Fuentes de Ortiz","Ed Maverick",1164041,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
58,"Me Rehúso","Danny Ocean",1157460,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
