,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Pepas,Farruko,4920454,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
2,"Todo De Ti","Rauw Alejandro",4807760,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
3,Yonaguni,"Bad Bunny",4504033,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
4,"A La Antigüita","Calibre 50",3896094,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
5,Volví,Aventura,3858661,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
6,"Qué Más Pues?","J Balvin",3359841,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
7,"STAY (with Justin Bieber)","The Kid LAROI",3267439,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
8,Sobrio,Maluma,3241281,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
9,París,Ingratax,3183981,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
10,"Botella Tras Botella","Gera MX",3162653,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
11,"AM Remix","Nio Garcia",2849436,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
12,"Life Goes On","Oliver Tree",2623575,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
13,"Tiroteo - Remix","Marc Seguí",2612927,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
14,"In Da Getto","J Balvin",2557348,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
15,"Pareja Del Año","Sebastian Yatra",2554015,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
16,"Ya Acabo","Marca MP",2543057,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
17,Mónaco,LAGOS,2541241,https://open.spotify.com/track/3HgvO4B5LLmdPOT2d8cSZd
18,"Don't Be Shy",Tiësto,2453201,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
19,DÁKITI,"Bad Bunny",2348662,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
20,Miénteme,TINI,2253854,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
21,Beggin',Måneskin,2179487,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
22,"Cuidando El Territorio","Calibre 50",2116371,https://open.spotify.com/track/64ImcY4fJhY243wr20SR3e
23,"Volando - Remix",Mora,2033972,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
24,"Entre Nosotros","Tiago PZK",1987089,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
25,"Ya Supérame (En Vivo)","Grupo Firme",1924313,https://open.spotify.com/track/6HIIuuUIEzH1meVdGbMXyf
26,"El Tóxico","Grupo Firme",1874484,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
27,Cúrame,"Rauw Alejandro",1853695,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
28,"911 - Remix",Sech,1752734,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
29,"Debo Entender","Santa Fe Klan",1749357,https://open.spotify.com/track/55mzJ0LftLnef8sxAjrMkU
30,"Porte Exuberante","Natanael Cano",1714643,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
31,"Poblado - Remix","J Balvin",1681034,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
32,Hawái,Maluma,1639160,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
33,"Se Amerita","Junior H",1576657,https://open.spotify.com/track/3pQYf90V5idOGrXzosm9rt
34,Fiel,"Los Legendarios",1574999,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
35,"Se Me Olvidó","Gera MX",1551566,https://open.spotify.com/track/7xLYLM5K6S1TwiSdfuhZQg
36,"Jugaste y Sufrí","Eslabon Armado",1498967,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
37,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1491615,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
38,Woman,"Doja Cat",1486352,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
39,"Todo Va a Estar Bien","Santa Fe Klan",1478842,https://open.spotify.com/track/3XjRIN9vEt35lm1iStPcgq
40,"EL MAKINON","KAROL G",1476532,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
41,"Dueles Tan Bien",Bruses,1462360,https://open.spotify.com/track/75ncCwXqalTnnl6t1ruQRq
42,"Take My Breath","The Weeknd",1443746,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
43,"La Curiosidad","Jay Wheeler",1421834,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
44,2/Catorce,"Rauw Alejandro",1411651,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
45,"Te Ire A Buscar","Santa Fe Klan",1382009,https://open.spotify.com/track/3elpkpwYlmUbuvmVps08lJ
46,"La Casita","Banda MS de Sergio Lizárraga",1360352,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
47,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",1355898,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
48,"Fuentes de Ortiz","Ed Maverick",1320563,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
49,"Bad Habits","Ed Sheeran",1291987,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
50,"Gracias - En Vivo","Grupo Firme",1275646,https://open.spotify.com/track/2XlGKZNMkRKvEJsbwQ6MCl
51,"LA NOCHE DE ANOCHE","Bad Bunny",1271568,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
52,"En Tu Perra Vida","Grupo Firme",1260823,https://open.spotify.com/track/0ldT3gl7aGNzrJyd4b1CA4
53,"LA CANCIÓN","J Balvin",1251463,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
54,Perfecta,Reik,1241286,https://open.spotify.com/track/6VOb0Kkrd45Bp5RHYSla2J
55,"200 COPAS","KAROL G",1219135,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG
56,"Ma Vie (feat. Yay)","Kidd Keo",1210662,https://open.spotify.com/track/6UU24wuWgGwuSBAxDH866Z
57,Loco,"Justin Quiles",1209157,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
58,"El Bélico","El Fantasma",1193307,https://open.spotify.com/track/50pkO56KXHoH53sVPRSbZ3
59,"Aquí Abajo","Christian Nodal",1179702,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
60,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1176926,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
61,"Kiss Me More (feat. SZA)","Doja Cat",1171452,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
62,BICHOTA,"KAROL G",1169059,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
63,Loquita,Reik,1168263,https://open.spotify.com/track/2OTULPNeQUkwQ0tNzcG7tj
64,"Sexo Virtual","Rauw Alejandro",1167742,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
