,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Fiel,"Los Legendarios",5516709,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
2,telepatía,"Kali Uchis",3959362,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
3,DÁKITI,"Bad Bunny",3948042,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,Bandido,"Myke Towers",3453789,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
5,"LA NOCHE DE ANOCHE","Bad Bunny",2948305,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
6,AM,"Nio Garcia",2862234,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
7,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2807412,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
8,911,Sech,2765845,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
9,BICHOTA,"KAROL G",2715139,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
10,"Save Your Tears","The Weeknd",2503080,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,Hawái,Maluma,2449796,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
12,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2449436,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
13,Reloj,"Rauw Alejandro",2428226,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
14,"Algo Mágico","Rauw Alejandro",2143724,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
15,"MONTERO (Call Me By Your Name)","Lil Nas X",2125609,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
16,"EL MAKINON","KAROL G",2115038,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
17,"Ella No Es Tuya - Remix","Rochy RD",1998705,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
18,"Hecha Pa' Mi",Boza,1862610,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
19,"Leave The Door Open","Bruno Mars",1862239,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
20,"Levitating (feat. DaBaby)","Dua Lipa",1792146,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
21,"Blinding Lights","The Weeknd",1790920,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
22,"Aquí Abajo","Christian Nodal",1780039,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
23,"Machu Picchu",Camilo,1776715,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
24,"El Tóxico","Grupo Firme",1766926,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
25,"TE MUDASTE","Bad Bunny",1738977,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
26,"Hasta Que Me Olvides","Luis Miguel",1723247,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
27,"Cabrón y Vago - En Vivo","El Fantasma",1704952,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
28,LOCATION,"KAROL G",1702348,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
29,"Mi Niña",Wisin,1659115,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
30,"Más De La Una","Piso 21",1613752,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
31,"Hasta Abajo","Kevin Roldan",1608969,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
32,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1592719,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
33,"Parce (feat. Justin Quiles)",Maluma,1478651,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
34,"La Nota","Manuel Turizo",1477768,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
35,"Chica Ideal","Sebastian Yatra",1470971,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
36,"La Casita","Banda MS de Sergio Lizárraga",1439482,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
37,"LA CANCIÓN","J Balvin",1432439,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
38,"Ahora Te Puedes Marchar","Luis Miguel",1413982,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
39,"La Curiosidad","Jay Wheeler",1412264,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
40,"Ropa Cara",Camilo,1373417,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
41,"The Business",Tiësto,1352154,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
42,"La Tóxica",Farruko,1343563,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
43,"Dime Cómo Quieres","Christian Nodal",1343484,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
44,"GIRL LIKE ME","Black Eyed Peas",1330304,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
45,"Se Te Nota (with Guaynaa)","Lele Pons",1321302,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
46,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1304513,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
47,"Relación - Remix",Sech,1293254,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
48,"Vida de Rico",Camilo,1287711,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
49,"Ya Acabo","Marca MP",1283241,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
50,"Me La Avente","Carin Leon",1248499,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
51,"Don't Start Now","Dua Lipa",1226153,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
52,"drivers license","Olivia Rodrigo",1220080,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
53,BEBÉ,Camilo,1215053,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
54,"Pa' Olvidarme De Ella","Piso 21",1196874,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
55,"Astronaut In The Ocean","Masked Wolf",1194938,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
56,"De Los Besos Que Te Di","Christian Nodal",1167773,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
57,"La Incondicional","Luis Miguel",1138747,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
58,"No Me Conoce - Remix","Jhay Cortez",1130979,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
