,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Todo De Ti","Rauw Alejandro",8976156,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
2,Yonaguni,"Bad Bunny",8010392,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
3,"AM Remix","Nio Garcia",6041365,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
4,"Botella Tras Botella","Gera MX",5114424,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
5,"Qué Más Pues?","J Balvin",5072599,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
6,"Pareja Del Año","Sebastian Yatra",4251045,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
7,DÁKITI,"Bad Bunny",3181730,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
8,2/Catorce,"Rauw Alejandro",2966904,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
9,Fiel,"Los Legendarios",2847750,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
10,AM,"Nio Garcia",2603617,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
11,"Fiel - Remix",Wisin,2533168,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
12,"EL MAKINON","KAROL G",2433696,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
13,"Poblado - Remix","J Balvin",2326762,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
14,Beggin',Måneskin,2302562,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
15,"Porte Exuberante","Natanael Cano",2183058,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
16,telepatía,"Kali Uchis",2095274,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
17,Bandido,"Myke Towers",2081770,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
18,"good 4 u","Olivia Rodrigo",2026711,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
19,"Kiss Me More (feat. SZA)","Doja Cat",2019162,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
20,"LA NOCHE DE ANOCHE","Bad Bunny",1948192,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
21,"Ya Acabo","Marca MP",1927075,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
22,Butter,BTS,1865200,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
23,"MONTERO (Call Me By Your Name)","Lil Nas X",1808911,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
24,Hawái,Maluma,1801738,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
25,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1781836,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
26,512,Mora,1748559,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
27,"Levitating (feat. DaBaby)","Dua Lipa",1738042,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
28,911,Sech,1735153,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
29,"Ram Pam Pam","Natti Natasha",1701713,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
30,BICHOTA,"KAROL G",1670799,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
31,Saturno,"Pablo Alborán",1665570,https://open.spotify.com/track/2f0Ft2XdvNSMSY5TUlZgEz
32,Reloj,"Rauw Alejandro",1661782,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
33,"El Tóxico","Grupo Firme",1638370,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
34,"Sal y Perrea",Sech,1627721,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
35,"Tan Bonita","Piso 21",1589839,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
36,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1539401,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
37,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1522849,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
38,"Algo Mágico","Rauw Alejandro",1517876,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
39,"Leave The Door Open","Bruno Mars",1507512,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
