,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,telepatía,"Kali Uchis",5156542,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
2,DÁKITI,"Bad Bunny",4561377,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
3,BICHOTA,"KAROL G",4066214,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
4,Bandido,"Myke Towers",4012191,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
5,"LA NOCHE DE ANOCHE","Bad Bunny",3425860,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
6,Fiel,"Los Legendarios",3037022,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
7,Hawái,Maluma,2837088,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
8,"Save Your Tears","The Weeknd",2770853,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
9,Reloj,"Rauw Alejandro",2751415,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
10,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2614853,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
11,"Ella No Es Tuya - Remix","Rochy RD",2385162,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
12,"Algo Mágico","Rauw Alejandro",2263258,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
13,"Hecha Pa' Mi",Boza,2195661,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
14,"Blinding Lights","The Weeknd",2049358,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"Relación - Remix",Sech,2032540,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
16,"TE MUDASTE","Bad Bunny",1949128,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
17,"Mi Niña",Wisin,1914981,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
18,"Más De La Una","Piso 21",1909804,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
19,"Hasta Abajo","Kevin Roldan",1878369,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
20,"Ropa Cara",Camilo,1803718,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
21,LOCATION,"KAROL G",1788731,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
22,"Parce (feat. Justin Quiles)",Maluma,1767477,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
23,"La Nota","Manuel Turizo",1767359,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
24,"Se Te Nota (with Guaynaa)","Lele Pons",1736007,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
25,911,Sech,1725264,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
26,"Cabrón y Vago - En Vivo","El Fantasma",1720187,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
27,"Aquí Abajo","Christian Nodal",1691016,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
28,"La Tóxica",Farruko,1690102,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
29,"El Tóxico","Grupo Firme",1643081,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
30,"GIRL LIKE ME","Black Eyed Peas",1599840,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
31,"Machu Picchu",Camilo,1565410,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
32,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1558800,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
33,"Dime Cómo Quieres","Christian Nodal",1545982,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
34,"Chica Ideal","Sebastian Yatra",1531704,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
35,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1508462,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
36,"drivers license","Olivia Rodrigo",1478010,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
37,"La Curiosidad","Jay Wheeler",1443093,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
38,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1440531,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
39,"Pa' Olvidarme De Ella","Piso 21",1425668,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
40,"La Casita","Banda MS de Sergio Lizárraga",1384783,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
