,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Botella Tras Botella","Gera MX",10331714,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
2,Fiel,"Los Legendarios",5560521,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,AM,"Nio Garcia",4792748,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
4,DÁKITI,"Bad Bunny",3834135,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
5,telepatía,"Kali Uchis",3547817,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
6,"Pareja Del Año","Sebastian Yatra",3537262,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
7,Bandido,"Myke Towers",3242673,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
8,"LA NOCHE DE ANOCHE","Bad Bunny",2735159,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
9,911,Sech,2673102,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
10,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2663502,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
11,"EL MAKINON","KAROL G",2610370,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
12,BICHOTA,"KAROL G",2486948,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
13,Hawái,Maluma,2363435,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
14,Reloj,"Rauw Alejandro",2354306,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
15,"Hasta Que Me Olvides","Luis Miguel",2321194,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
16,"MONTERO (Call Me By Your Name)","Lil Nas X",2141255,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
17,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2138487,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
18,"Levitating (feat. DaBaby)","Dua Lipa",2080945,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
19,"Aquí Abajo","Christian Nodal",2044725,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
20,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2011559,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
21,"Leave The Door Open","Bruno Mars",2003712,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
22,"Algo Mágico","Rauw Alejandro",1943171,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
23,"El Tóxico","Grupo Firme",1892193,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
24,"Ella No Es Tuya - Remix","Rochy RD",1753632,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
25,"Blinding Lights","The Weeknd",1730272,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,"Cabrón y Vago - En Vivo","El Fantasma",1726833,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
27,"Save Your Tears","The Weeknd",1678882,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
28,"Mi Niña",Wisin,1660801,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
29,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1658268,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
30,"Ya Acabo","Marca MP",1641919,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
31,"Machu Picchu",Camilo,1640476,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
32,"Pa' Olvidarme De Ella","Piso 21",1639842,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
33,"Hecha Pa' Mi",Boza,1621861,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
34,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",Bizarrap,1609204,https://open.spotify.com/track/3ke6it1vTmHtz2ApcIVUz5
35,"TE MUDASTE","Bad Bunny",1577868,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
36,"Más De La Una","Piso 21",1556560,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
37,"Ahora Te Puedes Marchar","Luis Miguel",1505965,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
38,LOCATION,"KAROL G",1428068,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
39,"Parce (feat. Justin Quiles)",Maluma,1418590,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
40,"La Casita","Banda MS de Sergio Lizárraga",1409500,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
41,"La Nota","Manuel Turizo",1397405,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
42,"Hasta Abajo","Kevin Roldan",1371039,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
43,"LA CANCIÓN","J Balvin",1339552,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
44,"La Curiosidad","Jay Wheeler",1334461,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
45,"Kiss Me More (feat. SZA)","Doja Cat",1305103,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
46,"The Business",Tiësto,1285301,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
47,"Astronaut In The Ocean","Masked Wolf",1275423,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
48,"2 Veces","Los Plebes del Rancho de Ariel Camacho",1270173,https://open.spotify.com/track/2G5kj8gYNAVM4pQ0IBBaGA
49,"Chica Ideal","Sebastian Yatra",1257685,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
50,"Dime Cómo Quieres","Christian Nodal",1237238,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
51,"La Incondicional","Luis Miguel",1204972,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
52,"Don't Start Now","Dua Lipa",1197601,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
53,"Me La Avente","Carin Leon",1189743,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
54,"Tan Bonita","Piso 21",1187119,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
55,"Gracias - En Vivo","Grupo Firme",1179893,https://open.spotify.com/track/2XlGKZNMkRKvEJsbwQ6MCl
56,"GIRL LIKE ME","Black Eyed Peas",1152159,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
57,"De Los Besos Que Te Di","Christian Nodal",1148891,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
58,"¿Quién Te Crees?","MC Davo",1121412,https://open.spotify.com/track/2LXOSAYiSrTfIf8smheLaz
59,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1120350,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
60,"Fuentes de Ortiz","Ed Maverick",1109733,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
61,"Ropa Cara",Camilo,1106620,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
62,"drivers license","Olivia Rodrigo",1101920,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
63,"No Te Contaron Mal","Christian Nodal",1095988,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
64,"Vida de Rico",Camilo,1089386,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
65,"Relación - Remix",Sech,1085665,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
66,BEBÉ,Camilo,1085361,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
67,"Se Me Olvidó","Christian Nodal",1081001,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
68,Duele,"Alejandro Fernández",1059200,https://open.spotify.com/track/6CFaze42M5wiTqMidNtJLE
69,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,1048358,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
70,"Culpable O No - Miénteme Como Siempre","Luis Miguel",1038298,https://open.spotify.com/track/7BwxbmYFy0l3ROHDjV2c14
71,"Your Power","Billie Eilish",1032334,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
72,"No Me Conoce - Remix","Jhay Cortez",1024387,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
73,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,1021013,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
