,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Botella Tras Botella","Gera MX",16850065,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
2,Fiel,"Los Legendarios",5523174,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,AM,"Nio Garcia",4103187,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
4,DÁKITI,"Bad Bunny",3939881,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
5,telepatía,"Kali Uchis",3765379,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
6,Bandido,"Myke Towers",3282790,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
7,"LA NOCHE DE ANOCHE","Bad Bunny",2778729,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
8,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2672458,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
9,911,Sech,2643141,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
10,BICHOTA,"KAROL G",2594788,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
11,"Hasta Que Me Olvides","Luis Miguel",2585933,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
12,"Aquí Abajo","Christian Nodal",2579796,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
13,"Pareja Del Año","Sebastian Yatra",2506727,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
14,Hawái,Maluma,2408736,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
15,"EL MAKINON","KAROL G",2382161,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
16,Reloj,"Rauw Alejandro",2368613,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
17,"Save Your Tears","The Weeknd",2319505,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
18,"Pa' Olvidarme De Ella","Piso 21",2244982,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
19,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2193512,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
20,"Algo Mágico","Rauw Alejandro",2148926,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
21,"MONTERO (Call Me By Your Name)","Lil Nas X",2137496,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
22,"Leave The Door Open","Bruno Mars",1964644,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
23,"Levitating (feat. DaBaby)","Dua Lipa",1935735,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
24,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1916093,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
25,"El Tóxico","Grupo Firme",1888058,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
26,"Ella No Es Tuya - Remix","Rochy RD",1800927,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
27,"Blinding Lights","The Weeknd",1795496,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
28,"Cabrón y Vago - En Vivo","El Fantasma",1770898,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
29,"Machu Picchu",Camilo,1726948,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
30,"Hecha Pa' Mi",Boza,1663021,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
31,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1662707,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
32,"Mi Niña",Wisin,1654245,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
33,"TE MUDASTE","Bad Bunny",1637104,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
34,"Ya Acabo","Marca MP",1573401,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
35,"Ahora Te Puedes Marchar","Luis Miguel",1566460,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
36,"Más De La Una","Piso 21",1559325,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
37,"Hasta Abajo","Kevin Roldan",1532896,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
38,"Dime Cómo Quieres","Christian Nodal",1511249,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
39,LOCATION,"KAROL G",1510617,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
40,"2 Veces","Los Plebes del Rancho de Ariel Camacho",1491506,https://open.spotify.com/track/2G5kj8gYNAVM4pQ0IBBaGA
41,"La Nota","Manuel Turizo",1429911,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
42,"Parce (feat. Justin Quiles)",Maluma,1424218,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
43,"Se Me Olvidó","Christian Nodal",1402618,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
44,"De Los Besos Que Te Di","Christian Nodal",1398072,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
45,"LA CANCIÓN","J Balvin",1380418,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
46,"La Curiosidad","Jay Wheeler",1367798,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
47,"No Te Contaron Mal","Christian Nodal",1366484,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
48,"La Casita","Banda MS de Sergio Lizárraga",1360053,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
49,"Chica Ideal","Sebastian Yatra",1332706,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
50,"La Incondicional","Luis Miguel",1278209,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
51,Duele,"Alejandro Fernández",1251671,https://open.spotify.com/track/6CFaze42M5wiTqMidNtJLE
52,"The Business",Tiësto,1247613,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
53,"La Tóxica",Farruko,1233504,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
54,"Me La Avente","Carin Leon",1227464,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
55,"Ropa Cara",Camilo,1211895,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
56,"Astronaut In The Ocean","Masked Wolf",1203174,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
57,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1189714,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
58,"Don't Start Now","Dua Lipa",1177149,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
59,"Vida de Rico",Camilo,1166996,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
60,"GIRL LIKE ME","Black Eyed Peas",1157108,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
61,"La Mitad",Camilo,1147733,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
62,"Relación - Remix",Sech,1146232,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
63,"Culpable O No - Miénteme Como Siempre","Luis Miguel",1143055,https://open.spotify.com/track/7BwxbmYFy0l3ROHDjV2c14
64,BEBÉ,Camilo,1139345,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
65,"Tan Bonita","Piso 21",1137178,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
66,"drivers license","Olivia Rodrigo",1134732,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
67,"Gracias - En Vivo","Grupo Firme",1132284,https://open.spotify.com/track/2XlGKZNMkRKvEJsbwQ6MCl
68,"Fuentes de Ortiz","Ed Maverick",1108450,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
69,Poco,Reik,1097281,https://open.spotify.com/track/6VZMIyzOupI4vA68RaUgXb
70,"Se Te Nota (with Guaynaa)","Lele Pons",1078648,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
71,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,1057365,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
72,"No Me Conoce - Remix","Jhay Cortez",1054546,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
73,"¿Quién Te Crees?","MC Davo",1023323,https://open.spotify.com/track/2LXOSAYiSrTfIf8smheLaz
74,PROBLEMA,"Daddy Yankee",1012388,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
75,Tú,"Carin Leon",1008841,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
76,"Agua de Jamaica",Maluma,998114,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
77,"Una Locura",Ozuna,997347,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
78,"Nace Un Borracho","Christian Nodal",991605,https://open.spotify.com/track/6SnO4yCCYtz2rffMpEAlro
79,"Palabra de Hombre","El Fantasma",986093,https://open.spotify.com/track/4CLkDJ4xLqkV4Vt2vPOny1
80,"Tattoo - Remix with Camilo","Rauw Alejandro",977876,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
81,"Me Rehúso","Danny Ocean",966658,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
82,"Ramito De Violetas","Mi Banda El Mexicano",959767,https://open.spotify.com/track/6sRaqq9SYsSTPvrWkL1sRy
83,Tusa,"KAROL G",958997,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
84,"El Amor De Tu Vida","Carin Leon",958048,https://open.spotify.com/track/5HpXH64cSBNu26yhw3vK37
85,Azul,"J Balvin",955037,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
86,"No Te Enamores - Remix",Milly,953952,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
87,"Ponte Pa' Mi","Justin Quiles",938601,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
88,"BOOKER T","Bad Bunny",936064,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
89,"Si Estuviésemos Juntos","Bad Bunny",934399,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
90,"Watermelon Sugar","Harry Styles",934350,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
91,"La Santa","Bad Bunny",933650,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
92,"El Güero (Feat. Marca MP)","Grupo Firme",931803,https://open.spotify.com/track/2MeEuwplwbbjZ7hxRI6viw
93,"Mi Cuarto","Jerry Di",927634,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
94,Callaita,"Bad Bunny",926501,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
95,Ella,"Junior H",925323,https://open.spotify.com/track/0tKl8ZVM6xJkhznvJAS3Nq
96,"Si Te Pudiera Mentir","Calibre 50",922221,https://open.spotify.com/track/3p6eieHX6oEOzJStPtEsLu
97,"El Envidioso","Los Dos Carnales",912877,https://open.spotify.com/track/53PoPAD389bBE4ePYuT95g
98,"Con Tus Besos","Eslabon Armado",912749,https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT
99,Safaera,"Bad Bunny",912297,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
100,"La Jeepeta - Remix","Nio Garcia",905017,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
101,Brillas,"León Larregui",901978,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI
102,"EL PONY","Daddy Yankee",898693,https://open.spotify.com/track/3ymdUMzgylwrSfpxdlCUWV
103,"Me Dediqué a Perderte","Alejandro Fernández",896378,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
104,Golden,"Harry Styles",893952,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
105,"Si Veo a Tu Mamá","Bad Bunny",892667,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
106,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,883649,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
107,"CÓMO SE SIENTE - Remix","Jhay Cortez",876678,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
108,"Dance Monkey","Tones And I",874045,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
109,"Somos Los Que Somos - En Vivo","Los 2 de la S",873724,https://open.spotify.com/track/1Z04XN4pH2b8JfdiaIEkl5
110,"Heartbreak Anniversary",Giveon,870260,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
111,Vete,"Bad Bunny",866963,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
112,Suave,"Luis Miguel",857505,https://open.spotify.com/track/4p7XH4NhQ25iGYrrbg93gt
113,Probablemente,"Christian Nodal",856789,https://open.spotify.com/track/4prmUBle7TtAeeUgCnsc3Z
114,"Kiss Me More (feat. SZA)","Doja Cat",856679,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
115,Dynamite,BTS,851084,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
116,"Mi Tío Snoop",Aleman,848010,https://open.spotify.com/track/48XgkAh1fkcZqA2EZWCDX6
117,"Ay, DiOs Mío!","KAROL G",834659,https://open.spotify.com/track/1beTDCe7sT7fzm8WIKXicz
118,"Hasta la Miel Amarga (feat. Grupo Firme)","Luis Angel ""El Flaco""",834635,https://open.spotify.com/track/3D3W7rDsuJIAtjInwh6Moc
119,"EL POETA",Humbe,834539,https://open.spotify.com/track/2fIPEgY8CJ4hh5UDZa2lB9
120,"Por Debajo De La Mesa","Luis Miguel",829845,https://open.spotify.com/track/4FqfHVML025cwjfhAOFbfa
121,"Otra Noche Sin Ti","J Balvin",827325,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
122,"Amor Tumbado","Natanael Cano",825026,https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj
123,"La Media Vuelta","Luis Miguel",823081,https://open.spotify.com/track/1lKI9y1DL6QnYTZguVmACX
124,"Tengo Todo Excepto a Ti","Luis Miguel",813455,https://open.spotify.com/track/27XboT5Wb8VOn7A0heo3Ei
125,"Fuerte No Soy",Intocable,808724,https://open.spotify.com/track/7A07Yu1dRND3RKDzbhKrDs
126,"Adiós Amor","Christian Nodal",807615,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
127,"El Color de Tus Ojos","Banda MS de Sergio Lizárraga",804262,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq
128,"HACIENDO QUE ME AMAS","Bad Bunny",803060,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
129,"Calla Tú","Danna Paola",798930,https://open.spotify.com/track/7jL2tCE0Xn2tunqWayBkte
130,"Vámonos a Marte","Kevin Kaarl",796332,https://open.spotify.com/track/2TzkIzgzIHhewMxyh1u4hh
131,"Amor A Primera Vista","Los Ángeles Azules",796266,https://open.spotify.com/track/5Myb8S90Wg0yLec5kmrIGJ
132,"Mente Positiva","Junior H",793366,https://open.spotify.com/track/3WQilym5Vi4ypxb70vx0eY
133,"A Tu Merced","Bad Bunny",792696,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
134,"Cerrando Ciclos","Banda MS de Sergio Lizárraga",779830,https://open.spotify.com/track/3fBJNawfhtgCmo58trRK2z
135,"Yo Perreo Sola","Bad Bunny",769668,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
136,"Amor Tóxico","Christian Nodal",767272,https://open.spotify.com/track/5LPlvbxA6bJQHvUW12Mr22
137,"deja vu","Olivia Rodrigo",763523,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
138,"Devuélveme a mi chica","Hombres G",757018,https://open.spotify.com/track/1Wrzhfa5bNlqvsnCztz190
139,Millones,Camilo,755781,https://open.spotify.com/track/3YAnNBdk0uHyakXXzMbNJq
140,Despeinada,Ozuna,751186,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
141,"Break My Heart","Dua Lipa",741178,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
142,"Vida Ventajosa","Los Dos Carnales",739648,https://open.spotify.com/track/72kaj3MRKcGnv2dbukJQRA
143,"Dese Morro","Justin Morales",737251,https://open.spotify.com/track/2LEgTuCP5iezFKHRtI5llW
144,"Por Mi No Te Detengas","Banda MS de Sergio Lizárraga",736336,https://open.spotify.com/track/3mV5TTtHnXUeOzRkyFKsVl
145,"Voy a Amarte","Perdidos De Sinaloa",735324,https://open.spotify.com/track/5SP2ca8eU4WFK2LLdVQvmx
146,"En Realidad","Ángela Aguilar",734457,https://open.spotify.com/track/0yig7Mn3nsz17bRgyeameH
147,Runaway,AURORA,733852,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
148,"Ya Me Enteré","Chayín Rubio",731766,https://open.spotify.com/track/4ggabbjjuHrG06SsYnqvEs
149,AYAYAY!,"Christian Nodal",731536,https://open.spotify.com/track/7iQc2DabEtzp60faOO9EmN
150,"Amor Tumbado","Natanael Cano",728312,https://open.spotify.com/track/6RRfUmnxz3Ef4KZxNBSLgV
151,"Fan de Tus Fotos","Nicky Jam",727890,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
152,"Lamento Boliviano","Los Enanitos Verdes",727588,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
153,Prometiste,"Pepe Aguilar",727124,https://open.spotify.com/track/2UypFzxfaYgMUnQX2k4qtj
154,"Qué Nivel De Mujer","Luis Miguel",722974,https://open.spotify.com/track/4yakD6EKEjeMezENNCSlcc
155,"Tú Me Dejaste De Querer","C. Tangana",721216,https://open.spotify.com/track/5ddFjrPG8NgQQ6xlOQIVd2
156,"La Forma en Que Me Miras","Super Yei",717972,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
157,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",717029,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
158,Tú,"Los Elegantes de Jerez",715986,https://open.spotify.com/track/5GkeaIeCEfB0LOqk7sIVHQ
159,Todavia,"La Factoria",714908,https://open.spotify.com/track/3D5uEBD0cAEGZGUo5j9045
160,"Los No Tan Tristes","Nanpa Básico",713838,https://open.spotify.com/track/4soIDKXJbxGnSMmADYnANT
161,Ignorantes,"Bad Bunny",713450,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
162,Nada,"Cali Y El Dandee",712744,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
163,"De Cora <3","Rauw Alejandro",712514,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
164,Desvelado,"Bobby Pulido",709909,https://open.spotify.com/track/2JJSGhPpATm8lXeYjD95fw
165,Jeans,"Justin Quiles",706182,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
166,"Hola - Remix",Dalex,705352,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
167,"Tu Veneno","J Balvin",703545,https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts
168,"En Peligro de Extinción","La Adictiva Banda San José de Mesillas",699970,https://open.spotify.com/track/1Utd9DbmWNHWjEuzItBmRX
169,Jangueo,"Alex Rose",694927,https://open.spotify.com/track/1bRpSCFv6P2OUhciByeRYR
170,Aloha,Maluma,691466,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
171,"Tuyo y Mío",Camilo,690902,https://open.spotify.com/track/4msyEItsAavVb5pZYCuz4n
172,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,690701,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
173,"El Roto - En Vivo","Grupo Firme",690187,https://open.spotify.com/track/21bfgzz92T3L96IsFn8Kvy
174,Favorito,Camilo,687830,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
175,"Tal Vez","Paulo Londra",686965,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
176,"Cada Vez Te Extraño Más","Grupo Firme",686281,https://open.spotify.com/track/70w1mwTod6NgCNV6e7ZlIQ
177,"L-Gante: RKT SESSIONS #1","Papu DJ",685302,https://open.spotify.com/track/4A9u8OrzFYbxdjiydkNdUi
178,"La Difícil","Bad Bunny",684064,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
179,"Sigues Con El","Dímelo Flow",683468,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
180,"Una Vez","Bad Bunny",682542,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
181,"en el Refuego","Grupo Diez 4tro",680488,https://open.spotify.com/track/2dDfS3g7VYjQLDqPnMY8oB
182,"Te Vi","Piso 21",678405,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
183,"A Mí","Rels B",674960,https://open.spotify.com/track/7MmrcXVA7A5zZ2CbDuGHNa
184,"Adore You","Harry Styles",674511,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
185,"Travesuras - Remix","Nio Garcia",672219,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
186,"Amor en Coma","Manuel Turizo",669160,https://open.spotify.com/track/0kRU83ecI57Iw1kPTeUwK5
187,Levitating,"Dua Lipa",668303,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
188,"El Efecto","Rauw Alejandro",667869,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
189,"Te Apuesto - En vivo","Marca MP",666250,https://open.spotify.com/track/7wnO6pBzcWWT8zT4vFx7hM
190,"Ma Vie (feat. Yay)","Kidd Keo",662762,https://open.spotify.com/track/6UU24wuWgGwuSBAxDH866Z
191,Chivirika,"El Villanord",660911,https://open.spotify.com/track/6RaabFZyIbKpoC2Xh8XeXZ
192,"Disfruto Lo Malo","Junior H",660091,https://open.spotify.com/track/7LH2UUuyMHt7035PLZQ8wx
193,"Mala Fama","Danna Paola",659977,https://open.spotify.com/track/2D9itdl85AQVNpTfrxvUGj
194,"Belleza De Cantina","Cardenales De Nuevo León",655822,https://open.spotify.com/track/4ZplewvZRLFcfBa5uyBbhd
195,Believer,"Imagine Dragons",650530,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
196,"100 Años","Carlos Rivera",647932,https://open.spotify.com/track/33Va5mHYSweB26k0OsZAdu
197,"Si Te Falta Alguien","Christian Nodal",642048,https://open.spotify.com/track/5KcuLISuSBnMFAPVhFnHr5
198,Chachachá,"Jósean Log",639636,https://open.spotify.com/track/6aommJFM8i3iT4inKuDSXh
199,"Cuando Calienta El Sol","Luis Miguel",638404,https://open.spotify.com/track/3hVaK0zn3sVWWY8TvN1Te5
200,Caballero,"Alejandro Fernández",637710,https://open.spotify.com/track/6jrK6Y8d9tvjAjurI4W99u
