,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Pepas,Farruko,4935447,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
2,"A La Antigüita","Calibre 50",4732116,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
3,"Todo De Ti","Rauw Alejandro",4674410,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
4,Yonaguni,"Bad Bunny",4494200,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
5,Volví,Aventura,3761355,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
6,"Botella Tras Botella","Gera MX",3499508,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
7,"Qué Más Pues?","J Balvin",3435622,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
8,Sobrio,Maluma,3213025,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
9,"STAY (with Justin Bieber)","The Kid LAROI",3129547,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
10,París,Ingratax,3005751,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
11,"In Da Getto","J Balvin",2971436,https://open.spotify.com/track/1q0PYXTbDsirp2l74ng6pn
12,"Ya Supérame (En Vivo)","Grupo Firme",2913149,https://open.spotify.com/track/6HIIuuUIEzH1meVdGbMXyf
13,"Life Goes On","Oliver Tree",2834763,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
14,"AM Remix","Nio Garcia",2794435,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
15,"Ya Acabo","Marca MP",2790961,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
16,"Tiroteo - Remix","Marc Seguí",2505763,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
17,"Pareja Del Año","Sebastian Yatra",2479361,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
18,Mónaco,LAGOS,2466572,https://open.spotify.com/track/3HgvO4B5LLmdPOT2d8cSZd
19,"Don't Be Shy",Tiësto,2377176,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
20,DÁKITI,"Bad Bunny",2353767,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
21,"Como Lo Hice Yo",Matisse,2149750,https://open.spotify.com/track/64JzNzcoSZOh3RWeoghVfk
22,Miénteme,TINI,2142272,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
23,"Cuidando El Territorio","Calibre 50",2086057,https://open.spotify.com/track/64ImcY4fJhY243wr20SR3e
24,"El Tóxico","Grupo Firme",2078336,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
25,"Una Nota","J Balvin",2037659,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
26,Beggin',Måneskin,2005495,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
27,"Volando - Remix",Mora,1962877,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
28,"Entre Nosotros","Tiago PZK",1875261,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
29,Cúrame,"Rauw Alejandro",1858370,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
30,"Debo Entender","Santa Fe Klan",1745044,https://open.spotify.com/track/55mzJ0LftLnef8sxAjrMkU
31,"Porte Exuberante","Natanael Cano",1736042,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
32,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1728927,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
33,"911 - Remix",Sech,1660768,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
34,Hawái,Maluma,1646407,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
35,"Se Amerita","Junior H",1633174,https://open.spotify.com/track/3pQYf90V5idOGrXzosm9rt
36,"Poblado - Remix","J Balvin",1627644,https://open.spotify.com/track/2K1CQMoG2Dy5nmeOYnhoi8
37,"Sexo Virtual","Rauw Alejandro",1587646,https://open.spotify.com/track/0giiXonRhODYy4J1iy4Lb3
38,"La Casita","Banda MS de Sergio Lizárraga",1553411,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
39,Fiel,"Los Legendarios",1550428,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
40,"Jugaste y Sufrí","Eslabon Armado",1521446,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
41,"Cold Heart - PNAU Remix","Elton John",1505083,https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz
42,"Ramito De Violetas","Mi Banda El Mexicano",1471059,https://open.spotify.com/track/6sRaqq9SYsSTPvrWkL1sRy
43,"Ley Seca","Jhay Cortez",1464321,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
44,Woman,"Doja Cat",1458214,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
45,"Gracias - En Vivo","Grupo Firme",1456154,https://open.spotify.com/track/2XlGKZNMkRKvEJsbwQ6MCl
46,"Se Me Olvidó","Gera MX",1444872,https://open.spotify.com/track/7xLYLM5K6S1TwiSdfuhZQg
47,"Aquí Abajo","Christian Nodal",1436719,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
48,"EL MAKINON","KAROL G",1427178,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
49,"En Tu Perra Vida","Grupo Firme",1425981,https://open.spotify.com/track/0ldT3gl7aGNzrJyd4b1CA4
50,"Te Ire A Buscar","Santa Fe Klan",1416673,https://open.spotify.com/track/3elpkpwYlmUbuvmVps08lJ
51,"La Curiosidad","Jay Wheeler",1411991,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
52,"Dueles Tan Bien",Bruses,1391720,https://open.spotify.com/track/75ncCwXqalTnnl6t1ruQRq
53,2/Catorce,"Rauw Alejandro",1389427,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
54,"Todo Va a Estar Bien","Santa Fe Klan",1380552,https://open.spotify.com/track/3XjRIN9vEt35lm1iStPcgq
55,"LA CANCIÓN","J Balvin",1329179,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
56,"El Bélico","El Fantasma",1306494,https://open.spotify.com/track/50pkO56KXHoH53sVPRSbZ3
57,Loco,"Justin Quiles",1288238,https://open.spotify.com/track/6b2HYgqcK9mvktt4GxAu72
58,"Fuentes de Ortiz","Ed Maverick",1271294,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
59,"Bad Habits","Ed Sheeran",1262484,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
60,"LA NOCHE DE ANOCHE","Bad Bunny",1252931,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
61,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",1247785,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
62,"Cabrón y Vago - En Vivo","El Fantasma",1246438,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
63,"200 COPAS","KAROL G",1236877,https://open.spotify.com/track/0aZnyTWJNgdzYoOiaW8HKG
64,"Ma Vie (feat. Yay)","Kidd Keo",1210198,https://open.spotify.com/track/6UU24wuWgGwuSBAxDH866Z
65,"Si Te Pudiera Mentir","Calibre 50",1194842,https://open.spotify.com/track/3p6eieHX6oEOzJStPtEsLu
66,"Take My Breath","The Weeknd",1183958,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
67,BICHOTA,"KAROL G",1183517,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
68,"Por Mi México","Lefty Sm",1179480,https://open.spotify.com/track/2sUknbm8xdLQgH7wb8xcTX
69,"Dime Cómo Quieres","Christian Nodal",1174156,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
70,"Hablando Claro (En Vivo)","Grupo Firme",1161938,https://open.spotify.com/track/5hRFjooNvZWb9gdnXjrv2j
71,"México En La Piel","Luis Miguel",1161385,https://open.spotify.com/track/5BPq1UQa1NSN647R6IzD3n
72,Perfecta,Reik,1159443,https://open.spotify.com/track/6VOb0Kkrd45Bp5RHYSla2J
73,Bandido,"Myke Towers",1159074,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
74,"De Los Besos Que Te Di","Christian Nodal",1129555,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
75,Tú,"Carin Leon",1128671,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
76,"Blinding Lights","The Weeknd",1116524,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
77,"Me Rehúso","Danny Ocean",1105316,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
78,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1104241,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
79,"Kiss Me More (feat. SZA)","Doja Cat",1104215,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
80,"A Tu Merced","Bad Bunny",1100500,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
81,telepatía,"Kali Uchis",1097056,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
82,Ella,"Junior H",1091364,https://open.spotify.com/track/0tKl8ZVM6xJkhznvJAS3Nq
83,512,Mora,1083152,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
84,"Todas Mueren por Mí","Cartel De Santa",1080691,https://open.spotify.com/track/3p2KYoBgxUaaoJzXUToM8a
85,Tranquilito,"Gerardo Ortiz",1078070,https://open.spotify.com/track/2LJRoFOtMGLnSxJqlJuhge
86,"La bikina - En vivo","Luis Miguel",1077832,https://open.spotify.com/track/1jxO9AwMqYynDsuMWKrPvi
87,Saturno,"Pablo Alborán",1075566,https://open.spotify.com/track/2f0Ft2XdvNSMSY5TUlZgEz
88,"Ahora Te Puedes Marchar","Luis Miguel",1074353,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
89,AM,"Nio Garcia",1066281,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
90,"Hasta la Miel Amarga (feat. Grupo Firme)","Luis Angel ""El Flaco""",1058192,https://open.spotify.com/track/3D3W7rDsuJIAtjInwh6Moc
91,"Fiel - Remix",Wisin,1049557,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
92,"Tan Bonita","Piso 21",1039559,https://open.spotify.com/track/6mm3K0yWp6uzfOMuipM9Zh
93,"Grandes Ligas","Lupillo Rivera",1030297,https://open.spotify.com/track/06IceO7e9isF3nX3y7dOTe
94,"No Me Conoce - Remix","Jhay Cortez",1024712,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
95,Loquita,Reik,1020664,https://open.spotify.com/track/2OTULPNeQUkwQ0tNzcG7tj
96,Fulanito,"Becky G",1019173,https://open.spotify.com/track/59L8x0xy8njj75vzVCPMqg
97,Brillas,"León Larregui",1016081,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI
98,"Me La Avente","Carin Leon",1015603,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
99,"Palabra de Hombre","El Fantasma",1011007,https://open.spotify.com/track/4CLkDJ4xLqkV4Vt2vPOny1
100,"Que Esta Pasando","Fuerza Regida",1009408,https://open.spotify.com/track/26xQbFpVg8JCT5NKQFJXg8
101,LALISA,LISA,1007838,https://open.spotify.com/track/7uQZVznj0uQOGC9KhV2Mg6
102,Amnesia,"La Santa Grifa",1005192,https://open.spotify.com/track/3T0DeQvOtdqd7Yo3t2Ig3N
