,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Todo De Ti","Rauw Alejandro",7454693,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
2,Yonaguni,"Bad Bunny",6995836,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
3,"Qué Más Pues?","J Balvin",5170503,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
4,"AM Remix","Nio Garcia",4924335,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
5,"Botella Tras Botella","Gera MX",4485525,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
6,"Pareja Del Año","Sebastian Yatra",3751275,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
7,"Volando - Remix",Mora,3140776,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
8,DÁKITI,"Bad Bunny",2887324,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
9,Beggin',Måneskin,2767529,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
10,2/Catorce,"Rauw Alejandro",2462595,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
11,Fiel,"Los Legendarios",2461132,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
12,"Permission to Dance",BTS,2439372,https://open.spotify.com/track/0LThjFY2iTtNdd4wviwVV2
13,"Tiroteo - Remix","Marc Seguí",2300950,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
14,"Poblado - Remix","J Balvin",2294284,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
15,"De Museo","Bad Bunny",2237714,https://open.spotify.com/track/267NGliXM8YLVZiKAD9Otm
16,"Fiel - Remix",Wisin,2231663,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
17,"Porte Exuberante","Natanael Cano",2187767,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
18,Butter,BTS,2155364,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
19,"EL MAKINON","KAROL G",2129309,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
