,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,telepatía,"Kali Uchis",4766490,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
2,DÁKITI,"Bad Bunny",4489611,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
3,Fiel,"Los Legendarios",4134942,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
4,BICHOTA,"KAROL G",3868123,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
5,Bandido,"Myke Towers",3803886,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
6,"LA NOCHE DE ANOCHE","Bad Bunny",3359330,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
7,Hawái,Maluma,2739087,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
8,"Save Your Tears","The Weeknd",2716893,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
9,Reloj,"Rauw Alejandro",2677644,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
10,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2478036,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
11,"Algo Mágico","Rauw Alejandro",2341268,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
12,"Ella No Es Tuya - Remix","Rochy RD",2320692,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
13,"Hecha Pa' Mi",Boza,2201340,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
14,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2170201,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
15,"Blinding Lights","The Weeknd",2023500,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"Mi Niña",Wisin,1930694,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
17,LOCATION,"KAROL G",1908615,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
18,911,Sech,1906958,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
19,"Relación - Remix",Sech,1899700,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
20,"TE MUDASTE","Bad Bunny",1877232,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
21,"Hasta Abajo","Kevin Roldan",1816341,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
22,"Cabrón y Vago - En Vivo","El Fantasma",1813012,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
23,"El Tóxico","Grupo Firme",1797633,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
24,"La Tóxica",Farruko,1783756,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
25,"Más De La Una","Piso 21",1764752,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
26,"Aquí Abajo","Christian Nodal",1750290,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
27,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1676847,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
28,"La Nota","Manuel Turizo",1674588,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
29,"Machu Picchu",Camilo,1670171,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
30,"Se Te Nota (with Guaynaa)","Lele Pons",1669033,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
31,"Ropa Cara",Camilo,1645220,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
32,"Parce (feat. Justin Quiles)",Maluma,1635572,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
33,"Dime Cómo Quieres","Christian Nodal",1589088,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
34,"Chica Ideal","Sebastian Yatra",1522104,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
35,"La Curiosidad","Jay Wheeler",1504195,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
36,"GIRL LIKE ME","Black Eyed Peas",1494110,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
37,"La Casita","Banda MS de Sergio Lizárraga",1483900,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
38,"Me La Avente","Carin Leon",1436576,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
39,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1411411,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
40,"Vida de Rico",Camilo,1403516,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
41,"drivers license","Olivia Rodrigo",1353509,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
42,"The Business",Tiësto,1337103,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
43,"De Los Besos Que Te Di","Christian Nodal",1329296,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
44,"Don't Start Now","Dua Lipa",1319610,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
45,"2 Veces","Los Plebes del Rancho de Ariel Camacho",1316960,https://open.spotify.com/track/2G5kj8gYNAVM4pQ0IBBaGA
46,"LA CANCIÓN","J Balvin",1309188,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
47,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,1291229,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
48,"Pa' Olvidarme De Ella","Piso 21",1287106,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
49,BEBÉ,Camilo,1283453,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
50,Tusa,"KAROL G",1249224,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
51,"BOOKER T","Bad Bunny",1207962,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
52,"Ahora Te Puedes Marchar","Luis Miguel",1167766,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
53,"EL MAKINON","KAROL G",1165527,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
54,"Agua de Jamaica",Maluma,1158290,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
55,Duele,"Alejandro Fernández",1153016,https://open.spotify.com/track/6CFaze42M5wiTqMidNtJLE
56,"Levitating (feat. DaBaby)","Dua Lipa",1152001,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
57,"Ponte Pa' Mi","Justin Quiles",1147622,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
58,PROBLEMA,"Daddy Yankee",1144618,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
59,Tú,"Carin Leon",1139799,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
60,"Ramito De Violetas","Mi Banda El Mexicano",1139604,https://open.spotify.com/track/6sRaqq9SYsSTPvrWkL1sRy
61,"Leave The Door Open","Bruno Mars",1137946,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
62,"Tu Veneno","J Balvin",1135797,https://open.spotify.com/track/5KFHrrBMyGj5MhVbZMM3ts
63,"Mi Cuarto","Jerry Di",1124554,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
64,"No Me Conoce - Remix","Jhay Cortez",1121041,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
65,"Palabra de Hombre","El Fantasma",1106465,https://open.spotify.com/track/4CLkDJ4xLqkV4Vt2vPOny1
66,"Ay, DiOs Mío!","KAROL G",1102532,https://open.spotify.com/track/1beTDCe7sT7fzm8WIKXicz
67,Azul,"J Balvin",1094265,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
68,"No Te Enamores - Remix",Milly,1093169,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
69,"Se Me Olvidó","Christian Nodal",1073404,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
70,"Watermelon Sugar","Harry Styles",1059929,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
71,"Tattoo - Remix with Camilo","Rauw Alejandro",1048281,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
72,"Calla Tú","Danna Paola",1047098,https://open.spotify.com/track/7jL2tCE0Xn2tunqWayBkte
73,"EL POETA",Humbe,1047075,https://open.spotify.com/track/2fIPEgY8CJ4hh5UDZa2lB9
74,"El Güero (Feat. Marca MP)","Grupo Firme",1040191,https://open.spotify.com/track/2MeEuwplwbbjZ7hxRI6viw
75,Jeans,"Justin Quiles",1038150,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
76,"Una Locura",Ozuna,1036260,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
77,"Fuentes de Ortiz","Ed Maverick",1031203,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
78,"Si Te Pudiera Mentir","Calibre 50",1027593,https://open.spotify.com/track/3p6eieHX6oEOzJStPtEsLu
79,"No Te Contaron Mal","Christian Nodal",1022525,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
80,"La Jeepeta - Remix","Nio Garcia",1022144,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
81,"La Mitad",Camilo,1007474,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
82,Safaera,"Bad Bunny",1006150,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
83,"Me Rehúso","Danny Ocean",995394,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
84,"El Amor de Tu Vida","Carin Leon",993425,https://open.spotify.com/track/2hqvvHxbWNHBnknhTSKaac
85,"El Envidioso","Los Dos Carnales",990602,https://open.spotify.com/track/53PoPAD389bBE4ePYuT95g
86,Nada,"Cali Y El Dandee",986942,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
87,"Si Veo a Tu Mamá","Bad Bunny",986757,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
88,"La Santa","Bad Bunny",982228,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
89,Golden,"Harry Styles",981570,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
90,"Mi Tío Snoop",Aleman,955776,https://open.spotify.com/track/48XgkAh1fkcZqA2EZWCDX6
91,Poco,Reik,952956,https://open.spotify.com/track/6VZMIyzOupI4vA68RaUgXb
92,Brillas,"León Larregui",948611,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI
93,"Dance Monkey","Tones And I",948309,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
94,"El Color de Tus Ojos","Banda MS de Sergio Lizárraga",943351,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq
