,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Botella Tras Botella","Gera MX",7053145,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
2,Fiel,"Los Legendarios",5426918,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,"Todo De Ti","Rauw Alejandro",4881318,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
4,"Pareja Del Año","Sebastian Yatra",4711113,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
5,AM,"Nio Garcia",4528082,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
6,Butter,BTS,3565253,https://open.spotify.com/track/3VqeTFIvhxu3DIe4eZVzGq
7,DÁKITI,"Bad Bunny",3477926,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
8,"EL MAKINON","KAROL G",3253463,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
9,2/Catorce,"Rauw Alejandro",3159867,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
10,Bandido,"Myke Towers",2889920,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
11,telepatía,"Kali Uchis",2868462,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
12,Poblado,Crissin,2778097,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
13,"LA NOCHE DE ANOCHE","Bad Bunny",2431438,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
14,"good 4 u","Olivia Rodrigo",2400297,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
15,Reloj,"Rauw Alejandro",2301867,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
16,911,Sech,2192015,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
17,BICHOTA,"KAROL G",2147823,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
18,Hawái,Maluma,2011701,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
19,"Levitating (feat. DaBaby)","Dua Lipa",1990958,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
20,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1982882,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
21,"Ya Acabo","Marca MP",1963418,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
22,"Grandes Ligas","Lupillo Rivera",1961555,https://open.spotify.com/track/06IceO7e9isF3nX3y7dOTe
23,"Kiss Me More (feat. SZA)","Doja Cat",1956484,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
24,"MONTERO (Call Me By Your Name)","Lil Nas X",1935217,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
25,"deja vu","Olivia Rodrigo",1929111,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
26,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",1879906,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
27,"El Tóxico","Grupo Firme",1842990,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
28,"Algo Mágico","Rauw Alejandro",1820167,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
29,"Aquí Abajo","Christian Nodal",1777511,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
30,"Leave The Door Open","Bruno Mars",1770330,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
31,"Sal y Perrea",Sech,1745072,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
32,512,Mora,1706538,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
33,"drivers license","Olivia Rodrigo",1661649,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
34,"Hasta Que Me Olvides","Luis Miguel",1641549,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
