,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Todo De Ti","Rauw Alejandro",6100477,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
2,Yonaguni,"Bad Bunny",5560767,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
3,"Qué Más Pues?","J Balvin",4356484,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
4,"AM Remix","Nio Garcia",3952178,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
5,"Botella Tras Botella","Gera MX",3916229,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
6,"Se Me Olvidó","Gera MX",3667135,https://open.spotify.com/track/7xLYLM5K6S1TwiSdfuhZQg
7,Pepas,Farruko,3641862,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
8,"Pareja Del Año","Sebastian Yatra",3338505,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
9,Sobrio,Maluma,3010542,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
10,,,2984908,https://open.spotify.com/track/2eKY4TBKeXnUXMtSLj4R0n
11,"Volando - Remix",Mora,2865791,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
12,Mónaco,LAGOS,2759787,https://open.spotify.com/track/3HgvO4B5LLmdPOT2d8cSZd
13,"Tiroteo - Remix","Marc Seguí",2746912,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
14,Beggin',Måneskin,2678059,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
15,DÁKITI,"Bad Bunny",2582314,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
16,Volví,Aventura,2439320,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
17,"911 - Remix",Sech,2184397,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
18,"Poblado - Remix","J Balvin",2115080,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
19,"Entre Nosotros","Tiago PZK",2112642,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
20,"Ya Acabo","Marca MP",2095708,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
