,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Fiel,"Los Legendarios",5557062,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
2,telepatía,"Kali Uchis",4282347,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
3,DÁKITI,"Bad Bunny",4001683,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,Bandido,"Myke Towers",3517088,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
5,"LA NOCHE DE ANOCHE","Bad Bunny",3015857,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
6,BICHOTA,"KAROL G",2795693,https://open.spotify.com/track/1WvrDdouh6C51In1SdATbq
7,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2784311,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
8,"Save Your Tears","The Weeknd",2612829,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
9,911,Sech,2579705,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
10,Hawái,Maluma,2493823,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
11,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",2489473,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
12,Reloj,"Rauw Alejandro",2445747,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
13,"Algo Mágico","Rauw Alejandro",2258187,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
14,"Ella No Es Tuya - Remix","Rochy RD",2084308,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
15,"MONTERO (Call Me By Your Name)","Lil Nas X",2075783,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
16,AM,"Nio Garcia",1946313,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
17,"Hecha Pa' Mi",Boza,1913871,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
18,"Blinding Lights","The Weeknd",1855519,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,"Machu Picchu",Camilo,1828588,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
20,"El Tóxico","Grupo Firme",1782700,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
21,"Levitating (feat. DaBaby)","Dua Lipa",1777063,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
22,"EL MAKINON","KAROL G",1752187,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
23,"Leave The Door Open","Bruno Mars",1750634,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
24,LOCATION,"KAROL G",1744668,https://open.spotify.com/track/478g4LSkyMB1PMkVOVmIaE
25,"TE MUDASTE","Bad Bunny",1725067,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
26,"Cabrón y Vago - En Vivo","El Fantasma",1667001,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
27,"Más De La Una","Piso 21",1664498,https://open.spotify.com/track/00szcRmgqJGtqrfIUYkM1h
28,"Aquí Abajo","Christian Nodal",1664296,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
29,"Mi Niña",Wisin,1648295,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
30,"Hasta Abajo","Kevin Roldan",1643244,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
31,"Yo Ya No Vuelvo Contigo - En Vivo","Lenin Ramírez",1597884,https://open.spotify.com/track/1s59X35jDULAyOGmBuTAnd
32,"Relación - Remix",Sech,1535978,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
33,"La Nota","Manuel Turizo",1504615,https://open.spotify.com/track/5VzNsUnLmYcRfRfxpQsusa
34,"Chica Ideal","Sebastian Yatra",1483759,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
35,"Ropa Cara",Camilo,1478051,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
36,"Parce (feat. Justin Quiles)",Maluma,1474363,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
37,"La Casita","Banda MS de Sergio Lizárraga",1469962,https://open.spotify.com/track/0vtYnEw1eJwW26BrBnOAYJ
38,"Vida de Rico",Camilo,1447109,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
39,"La Curiosidad","Jay Wheeler",1440062,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
40,"GIRL LIKE ME","Black Eyed Peas",1431844,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
41,"Dime Cómo Quieres","Christian Nodal",1409864,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
42,"La Tóxica",Farruko,1382175,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
43,"The Business",Tiësto,1355626,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
44,"Se Te Nota (with Guaynaa)","Lele Pons",1349206,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
45,"LA CANCIÓN","J Balvin",1347709,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
46,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1312433,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
47,BEBÉ,Camilo,1299522,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
48,"drivers license","Olivia Rodrigo",1281721,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
49,"Me La Avente","Carin Leon",1277514,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ
50,"Don't Start Now","Dua Lipa",1268913,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
51,"Astronaut In The Ocean","Masked Wolf",1192531,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
52,"De Los Besos Que Te Di","Christian Nodal",1181673,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
53,"Pa' Olvidarme De Ella","Piso 21",1159806,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
54,"2 Veces","Los Plebes del Rancho de Ariel Camacho",1143109,https://open.spotify.com/track/2G5kj8gYNAVM4pQ0IBBaGA
55,"No Me Conoce - Remix","Jhay Cortez",1098403,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
56,"Ahora Te Puedes Marchar","Luis Miguel",1087843,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
57,"BOOKER T","Bad Bunny",1080492,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
58,"Tattoo - Remix with Camilo","Rauw Alejandro",1078012,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
59,"Agua de Jamaica",Maluma,1073476,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
60,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,1073075,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
61,"Ya Acabo","Marca MP",1068547,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
62,"Fuentes de Ortiz","Ed Maverick",1062421,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL
63,Duele,"Alejandro Fernández",1062384,https://open.spotify.com/track/6CFaze42M5wiTqMidNtJLE
64,Tú,"Carin Leon",1044500,https://open.spotify.com/track/1nLs8r6K4YN0avBwUmmTnr
65,"Palabra de Hombre","El Fantasma",1039587,https://open.spotify.com/track/4CLkDJ4xLqkV4Vt2vPOny1
66,"Watermelon Sugar","Harry Styles",1028110,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
67,"Otra Noche Sin Ti","J Balvin",1025615,https://open.spotify.com/track/2CdTLdDjwZdVcm0bresVWx
68,"Se Me Olvidó","Christian Nodal",1018220,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
69,"Ramito De Violetas","Mi Banda El Mexicano",1017168,https://open.spotify.com/track/6sRaqq9SYsSTPvrWkL1sRy
70,Tusa,"KAROL G",1015489,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
71,"No Te Enamores - Remix",Milly,1014013,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
72,Poco,Reik,1013478,https://open.spotify.com/track/6VZMIyzOupI4vA68RaUgXb
73,"Travesuras - Remix","Nio Garcia",1010519,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
74,"Ponte Pa' Mi","Justin Quiles",1005166,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
75,"Mi Cuarto","Jerry Di",996393,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
76,"Si Te Pudiera Mentir","Calibre 50",991254,https://open.spotify.com/track/3p6eieHX6oEOzJStPtEsLu
77,"Una Locura",Ozuna,990567,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
78,"No Te Contaron Mal","Christian Nodal",985153,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
79,Azul,"J Balvin",981487,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
80,PROBLEMA,"Daddy Yankee",976745,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
81,"La Mitad",Camilo,975303,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
